book,author,excerpt
The Hound of the Baskervilles,Arthur Conan Doyle,"â€œWell?â€ said he. â€œDo you not find it interesting?â€ â€œTo a collector of fairy tales.â€ Dr. Mortimer drew a folded newspaper out of his pocket. â€œNow, Mr. Holmes, we will give you something a little more recent. This is the Devon County Chronicle of May 14th of this year. It is a short account of the facts elicited at the death of Sir Charles Baskerville which occurred a few days before that date.â€ My friend leaned a little forward and his expression became intent. Our visitor readjusted his glasses and began: â€œThe recent sudden death of Sir Charles Baskerville, whose name has been mentioned as the probable Liberal candidate for Mid-Devon at the next election, has cast a gloom over the county."
Wuthering Heights,Emily BrontÃ«,"The business of eating being concluded, and no one uttering a word of sociable conversation, I approached a window to examine the weather. A sorrowful sight I saw: dark night coming down prematurely, and sky and hills mingled in one bitter whirl of wind and suffocating snow. â€œI donâ€™t think it possible for me to get home now without a guide,â€ I could not help exclaiming. â€œThe roads will be buried already; and, if they were bare, I could scarcely distinguish a foot in advance.â€ â€œHareton, drive those dozen sheep into the barn porch. Theyâ€™ll be covered if left in the fold all night: and put a plank before them,â€ said Heathcliff."
Emma,Jane Austen,"With this inspiriting notion, her questions increased in number and meaning; and she particularly led Harriet to talk more of Mr. Martin, and there was evidently no dislike to it. Harriet was very ready to speak of the share he had had in their moonlight walks and merry evening games; and dwelt a good deal upon his being so very good-humoured and obliging. He had gone three miles round one day in order to bring her some walnuts, because she had said how fond she was of them, and in every thing else he was so very obliging. He had his shepherdâ€™s son into the parlour one night on purpose to sing to her."
"The Extraordinary Adventures of Arsene Lupin, Gentleman-Burglar",Maurice Leblanc,"Thus it appeared that Rozaine was not ArsÃ¨ne Lupin; but was Rozaine, the son of a Bordeaux merchant. And the presence of ArsÃ¨ne Lupin was once more affirmed, and that in a most alarming manner. Such was the state of terror amongst the passengers that none would remain alone in a stateroom or wander singly in unfrequented parts of the vessel. We clung together as a matter of safety. And yet the most intimate acquaintances were estranged by a mutual feeling of distrust. ArsÃ¨ne Lupin was, now, anybody and everybody. Our excited imaginations attributed to him miraculous and unlimited power. We supposed him capable of assuming the most unexpected disguises; of being, by turns, the highly respectable Major Rawson or the noble Marquis de Raverdan, or evenâ€”for we no longer stopped with the accusing letter of Râ€”or even such or such a person well known to all of us, and having wife, children and servants."
Les MisÃ©rables,Victor Hugo,"Being, as he described himself with a smile, an ex-sinner, he had none of the asperities of austerity, and he professed, with a good deal of distinctness, and without the frown of the ferociously virtuous, a doctrine which may be summed up as follows:â€” â€œMan has upon him his flesh, which is at once his burden and his temptation. He drags it with him and yields to it. He must watch it, check it, repress it, and obey it only at the last extremity. There may be some fault even in this obedience; but the fault thus committed is venial; it is a fall, but a fall on the knees which may terminate in prayer."
"The Awakening, and Selected Short Stories",Kate Chopin,"She stood watching the fair woman walk down the long line of galleries with the grace and majesty which queens are sometimes supposed to possess. Her little ones ran to meet her. Two of them clung about her white skirts, the third she took from its nurse and with a thousand endearments bore it along in her own fond, encircling arms. Though, as everybody well knew, the doctor had forbidden her to lift so much as a pin! â€œAre you going bathing?â€ asked Robert of Mrs. Pontellier. It was not so much a question as a reminder. â€œOh, no,â€ she answered, with a tone of indecision."
The Brothers Karamazov,Fyodor Dostoyevsky,"â€œAh, I dare say you are a connoisseur in that. But, look here, Fyodor Pavlovitch, you said just now that we had given our word to behave properly. Remember it. I advise you to control yourself. But, if you begin to play the fool I donâ€™t intend to be associated with you here.... You see what a man he isâ€â€”he turned to the monkâ€”â€œIâ€™m afraid to go among decent people with him.â€ A fine smile, not without a certain slyness, came on to the pale, bloodless lips of the monk, but he made no reply, and was evidently silent from a sense of his own dignity."
Uncle Tom's Cabin,Harriet Beecher Stowe,"Eliza had been brought up by her mistress, from girlhood, as a petted and indulged favorite. The traveller in the south must often have remarked that peculiar air of refinement, that softness of voice and manner, which seems in many cases to be a particular gift to the quadroon and mulatto women. These natural graces in the quadroon are often united with beauty of the most dazzling kind, and in almost every case with a personal appearance prepossessing and agreeable. Eliza, such as we have described her, is not a fancy sketch, but taken from remembrance, as we saw her, years ago, in Kentucky. Safe under the protecting care of her mistress, Eliza had reached maturity without those temptations which make beauty so fatal an inheritance to a slave."
The Time Machine,H. G. Wells,"â€œYouâ€™ve just come? Itâ€™s rather odd. Heâ€™s unavoidably detained. He asks me in this note to lead off with dinner at seven if heâ€™s not back. Says heâ€™ll explain when he comes.â€ He was in an amazing plight. His coat was dusty and dirty, and smeared with green down the sleeves; his hair disordered, and as it seemed to me greyerâ€”either with dust and dirt or because its colour had actually faded. His face was ghastly pale; his chin had a brown cut on itâ€”a cut half-healed; his expression was haggard and drawn, as by intense suffering. For a moment he hesitated in the doorway, as if he had been dazzled by the light."
Dubliners,James Joyce,"â€œWhat is this rubbish?â€ he said. â€œThe Apache Chief! Is this what you read instead of studying your Roman History? Let me not find any more of this wretched stuff in this college. The man who wrote it, I suppose, was some wretched fellow who writes these things for a drink. Iâ€™m surprised at boys like you, educated, reading such stuff. I could understand it if you were ... National School boys. Now, Dillon, I advise you strongly, get at your work or....â€ This rebuke during the sober hours of school paled much of the glory of the Wild West for me and the confused puffy face of Leo Dillon awakened one of my consciences."
A Pickle for the Knowing Ones,Timothy Dexter,trouth This is revealed to me how the world was made with what stuff it was made with is the question Now I tell the with paper pen and ink and type the Anemels to be the founders of it with a Lye & Lyes upon Lyes wose then beasts or Snaks or wouls or bars tigers Divils and ten times wose with all Lyes untrouths the world allways was and is Look out for trouth a men I TIMOTHY DEXTER fourder in six Days and verey good and harde Laber I Cant gitt my monement Dun in sixty Days and work hard very hard & sweet it was for want of maney hands I had No hiram Nor Solomon only my selfe
The Jungle Book,Rudyard Kipling,"There was a clamor of scores of voices, saying: â€œWhat matter? He will die in the winter rains. He will scorch in the sun. What harm can a naked frog do us? Let him run with the Pack. Where is the bull, Bagheera? Let him be accepted.â€ And then came Akelaâ€™s deep bay, crying: â€œLook wellâ€”look well, O Wolves!â€ Mowgli was still deeply interested in the pebbles, and he did not notice when the wolves came and looked at him one by one. At last they all went down the hill for the dead bull, and only Akela, Bagheera, Baloo, and Mowgliâ€™s own wolves were left."
The Call of the Wild,Jack London,"An oath from Perrault, the resounding impact of a club upon a bony frame, and a shrill yelp of pain, heralded the breaking forth of pandemonium. The camp was suddenly discovered to be alive with skulking furry forms,â€”starving huskies, four or five score of them, who had scented the camp from some Indian village. They had crept in while Buck and Spitz were fighting, and when the two men sprang among them with stout clubs they showed their teeth and fought back. They were crazed by the smell of the food. Perrault found one with head buried in the grub-box. His club landed heavily on the gaunt ribs, and the grub-box was capsized on the ground."
The Secret Garden,Frances Hodgson Burnett,"â€œOh! did she die!â€ she exclaimed, quite without meaning to. She had just remembered a French fairy story she had once read called â€œRiquet Ã  la Houppe.â€ It had been about a poor hunchback and a beautiful princess and it had made her suddenly sorry for Mr. Archibald Craven. â€œYes, she died,â€ Mrs. Medlock answered. â€œAnd it made him queerer than ever. He cares about nobody. He wonâ€™t see people. Most of the time he goes away, and when he is at Misselthwaite he shuts himself up in the West Wing and wonâ€™t let anyone but Pitcher see him. Pitcherâ€™s an old fellow, but he took care of him when he was a child and he knows his ways.â€"
The Mysterious Affair at Styles,Agatha Christie,"Cynthia Murdoch was a fresh-looking young creature, full of life and vigour. She tossed off her little V.A.D. cap, and I admired the great loose waves of her auburn hair, and the smallness and whiteness of the hand she held out to claim her tea. With dark eyes and eyelashes she would have been a beauty. She flung herself down on the ground beside John, and as I handed her a plate of sandwiches she smiled up at me. â€œSit down here on the grass, do. Itâ€™s ever so much nicer.â€ I dropped down obediently. â€œYou work at Tadminster, donâ€™t you, Miss Murdoch?â€"
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,"63. He who is a thorough teacher takes things seriouslyâ€”and even himselfâ€”only in relation to his pupils. 64. ""Knowledge for its own sake""â€”that is the last snare laid by morality: we are thereby completely entangled in morals once more. 65. The charm of knowledge would be small, were it not so much shame has to be overcome on the way to it. 65A. We are most dishonourable towards our God: he is not PERMITTED to sin. 66. The tendency of a person to allow himself to be degraded, robbed, deceived, and exploited might be the diffidence of a God among men."
The King James Version of the Bible,,"4:21 And his brotherâ€™s name was Jubal: he was the father of all such as handle the harp and organ. 4:22 And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain was Naamah. 4:23 And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt. 4:24 If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold. 4:25 And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew."
David Copperfield,Charles Dickens,"Instead of looking back, therefore, I will look forward. I cannot close this Volume more agreeably to myself, than with a hopeful glance towards the time when I shall again put forth my two green leaves once a month, and with a faithful remembrance of the genial sun and showers that have fallen on these leaves of David Copperfield, and made me happy. I REMARKED in the original Preface to this Book, that I did not find it easy to get sufficiently far away from it, in the first sensations of having finished it, to refer to it with the composure which this formal heading would seem to require."
Simple Sabotage Field Manual,United States. Office of Strategic Services,"(3) Using a very rapid stroke will wear out a file before its time. So will dragging a file in slow strokes under heavy pressure. Exert pressure on the backward stroke as well as the forward stroke. (4) Clean files by knocking them against the vise or the workpiece; they are easily broken this way. (5) Bits and drills will snap under heavy pressure. (6) You can put a press punch out of order by putting in it more material than it is adjusted forâ€”two blanks instead of one, for example. (7) Power-driven tools like pneumatic drills, riveters, and so on, are never efficient when dirty."
Leviathan,Thomas Hobbes,"Out of all which we may define, (that is to say determine,) what that is, which is meant by this word Reason, when wee reckon it amongst the Faculties of the mind. For Reason, in this sense, is nothing but Reckoning (that is, Adding and Substracting) of the Consequences of generall names agreed upon, for the Marking and Signifying of our thoughts; I say Marking them, when we reckon by our selves; and Signifying, when we demonstrate, or approve our reckonings to other men. And as in Arithmetique, unpractised men must, and Professors themselves may often erre, and cast up false; so also in any other subject of Reasoning, the ablest, most attentive, and most practised men, may deceive themselves, and inferre false Conclusions; Not but that Reason it selfe is always Right Reason, as well as Arithmetique is a certain and infallible art: But no one mans Reason, nor the Reason of any one number of men, makes the certaintie; no more than an account is therefore well cast up, because a great many men have unanimously approved it."
Anna Karenina,graf Leo Tolstoy,"Seeing her husband, she dropped her hands into the drawer of the bureau as though looking for something, and only looked round at him when he had come quite up to her. But her face, to which she tried to give a severe and resolute expression, betrayed bewilderment and suffering. â€œWhat do you want?â€ she said in a rapid, deep, unnatural voice. â€œDolly!â€ he repeated, with a quiver in his voice. â€œAnna is coming today.â€ â€œWell, what is that to me? I canâ€™t see her!â€ she cried. â€œBut you must, really, Dolly....â€ â€œGo away, go away, go away!â€ she shrieked, not looking at him, as though this shriek were called up by physical pain."
Meditations,Emperor of Rome Marcus Aurelius,"Whilst I was at Carnuntum. I. A man must not only consider how daily his life wasteth and decreaseth, but this also, that if he live long, he cannot be certain, whether his understanding shall continue so able and sufficient, for either discreet consideration, in matter of businesses; or for contemplation: it being the thing, whereon true knowledge of things both divine and human, doth depend. For if once he shall begin to dote, his respiration, nutrition, his imaginative, and appetitive, and other natural faculties, may still continue the same: he shall find no want of them. But how to make that right use of himself that he should, how to observe exactly in all things that which is right and just, how to redress and rectify all wrong, or sudden apprehensions and imaginations, and even of this particular, whether he should live any longer or no, to consider duly; for all such things, wherein the best strength and vigour of the mind is most requisite; his power and ability will be past and gone."
"The Slang Dictionary: Etymological, Historical and Andecdotal",John Camden Hotten,"Freshe water mariners, these kind of caterpillers counterfet great losses on the sea:â€”their shippes were drowned in the playne of Salisbury. Fylche, to robbe: Fylch-man, a robber. Gage, a quart pot. Gan, a mouth. Gentry cofe, a noble or gentle man. Gentry cofes ken, a noble or gentle manâ€™s house. Gentry mort, a noble or gentle woman. Gerry, excrement. Glasyers, eyes. Glymmar, fyer. Grannam, corne. Grunting chete, a pygge. Gyb, a writing. Hearing chetes, eares. Jarke, a seale. Ken, a house. Kynching morte, is a little gyrle, carried at their motherâ€™s backe in a slate, or sheete, who brings them up sauagely."
Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,"It was now day-light, and I returned to my house without waiting to congratulate with the emperor: because, although I had done a very eminent piece of service, yet I could not tell how his majesty might resent the manner by which I had performed it: for, by the fundamental laws of the realm, it is capital in any person, of what quality soever, to make water within the precincts of the palace. But I was a little comforted by a message from his majesty, â€œthat he would give orders to the grand justiciary for passing my pardon in form:â€ which, however, I could not obtain; and I was privately assured, â€œthat the empress, conceiving the greatest abhorrence of what I had done, removed to the most distant side of the court, firmly resolved that those buildings should never be repaired for her use: and, in the presence of her chief confidents could not forbear vowing revenge.â€"
Calculus Made Easy,Silvanus P. Thompson,
The Legend of Sleepy Hollow,Washington Irving,"â€œThat, therefore, he that runs races with goblin troopers is likely to have rough riding of it. â€œErgo, for a country schoolmaster to be refused the hand of a Dutch heiress is a certain step to high preferment in the state.â€ The cautious old gentleman knit his brows tenfold closer after this explanation, being sorely puzzled by the ratiocination of the syllogism, while, methought, the one in pepper-and-salt eyed him with something of a triumphant leer. At length he observed that all this was very well, but still he thought the story a little on the extravagant--there were one or two points on which he had his doubts."
Second Treatise of Government,John Locke,"Sect. 58. The power, then, that parents have over their children, arises from that duty which is incumbent on them, to take care of their off-spring, during the imperfect state of childhood. To inform the mind, and govern the actions of their yet ignorant nonage, till reason shall take its place, and ease them of that trouble, is what the children want, and the parents are bound to: for God having given man an understanding to direct his actions, has allowed him a freedom of will, and liberty of acting, as properly belonging thereunto, within the bounds of that law he is under."
Thus Spake Zarathustra: A Book for All and None,Friedrich Wilhelm Nietzsche,"All-too-similar are they still to each other. Verily even the greatest found Iâ€”all-too-human!â€â€” This type must not be regarded as a fanciful figure: it is not a nebulous hope which is to be realised at some indefinitely remote period, thousands of years hence; nor is it a new species (in the Darwinian sense) of which we can know nothing, and which it would therefore be somewhat absurd to strive after. But it is meant to be a possibility which men of the present could realise with all their spiritual and physical energies, provided they adopted the new values. â€œThe fundamental idea of my workâ€”namely, the Eternal Recurrence of all thingsâ€”this highest of all possible formulae of a Yea-saying philosophy, first occurred to me in August 1881."
Essays of Michel de Montaigne â€” Complete,Michel de Montaigne,"Being in this extremity, he frequently called me, merely to satisfy him that I was at his side. At length, he composed himself a little to rest, which strengthened our hopes; so much so, indeed, that I left the room, and went to rejoice thereupon with Mademoiselle de la Boetie. But, an hour or so afterwards, he called me by name once or twice, and then with a long sigh expired at three oâ€™clock on Wednesday morning, the 18th August 1563, having lived thirty-two years, nine months, and seventeen days. Monseigneur, I pray God to grant you a very long and happy life."
Old Granny Fox,Thornton W. Burgess,"Old Granny Fox was dreaming. Yes, Sir, she was dreaming. There she lay, curled up on the sunny little knoll on the edge of the Green Forest, fast asleep and dreaming. It was a very pleasant and very comfortable place indeed. You see, jolly, round, bright Mr. Sun poured his warmest rays right down there from the blue, blue sky. When Old Granny Fox was tired, she often slipped over there for a short nap and sun-bath even in winter. She was quite sure that no one knew anything about it. It was one of her secrets. This morning Old Granny Fox was very tired, unusually so."
Autobiography of Benjamin Franklin,Benjamin Franklin,"Father Abraham in his study 330 The end papers show, at the front, the Franklin arms and the Franklin seal; at the back, the medal given by the Boston public schools from the fund left by Franklin for that purpose as provided in the following extract from his will: ""I was born in Boston, New England, and owe my first instructions in literature to the free grammar-schools established there. I therefore give one hundred pounds sterling to my executors, to be by them ... paid over to the managers or directors of the free schools in my native town of Boston, to be by them ..."
The Art of War,active 6th century B.C. Sunzi,"Making some allowance for the exuberance of friendship, I am inclined to endorse this favorable judgment, and would certainly place him above Châ€™en Hao in order of merit. The following is an extract from the ""Impartial Judgments in the Garden of Literature"" by Cheng Hou:â€” Chu Hsi, commenting on this, fully admits the first part of the criticism, although he dislikes the audacious comparison with the venerated classical works. Language of this sort, he says, ""encourages a ruler's bent towards unrelenting warfare and reckless militarism."" Accustomed as we are to think of China as the greatest peace-loving nation on earth, we are in some danger of forgetting that her experience of war in all its phases has also been such as no modern State can parallel."
Siddhartha,Hermann Hesse,"This myth, this rumour, this legend resounded, its fragrance rose up, here and there; in the towns, the Brahmans spoke of it and in the forest, the Samanas; again and again, the name of Gotama, the Buddha reached the ears of the young men, with good and with bad talk, with praise and with defamation. It was as if the plague had broken out in a country and news had been spreading around that in one or another place there was a man, a wise man, a knowledgeable one, whose word and breath was enough to heal everyone who had been infected with the pestilence, and as such news would go through the land and everyone would talk about it, many would believe, many would doubt, but many would get on their way as soon as possible, to seek the wise man, the helper, just like this myth ran through the land, that fragrant myth of Gotama, the Buddha, the wise man of the family of Sakya. He possessed, so the believers said, the highest enlightenment, he remembered his previous lives, he had reached the nirvana and never returned into the cycle, was never again submerged in the murky river of physical forms."
Persuasion,Jane Austen,"Captain Wentworth had no fortune. He had been lucky in his profession; but spending freely, what had come freely, had realized nothing. But he was confident that he should soon be rich: full of life and ardour, he knew that he should soon have a ship, and soon be on a station that would lead to everything he wanted. He had always been lucky; he knew he should be so still. Such confidence, powerful in its own warmth, and bewitching in the wit which often expressed it, must have been enough for Anne; but Lady Russell saw it very differently. His sanguine temper, and fearlessness of mind, operated very differently on her."
Sense and Sensibility,Jane Austen,"Elinor had given her real opinion to her sister. She could not consider her partiality for Edward in so prosperous a state as Marianne had believed it. There was, at times, a want of spirits about him which, if it did not denote indifference, spoke of something almost as unpromising. A doubt of her regard, supposing him to feel it, need not give him more than inquietude. It would not be likely to produce that dejection of mind which frequently attended him. A more reasonable cause might be found in the dependent situation which forbade the indulgence of his affection. She knew that his mother neither behaved to him so as to make his home comfortable at present, nor to give him any assurance that he might form a home for himself, without strictly attending to her views for his aggrandizement."
An Index of The Divine Comedy,Dante,"Noon's fervid hour perchance six thousand miles From hence is distant; and the shadowy cone Almost to level on our earth declines; When from the midmost of this blue abyss By turns some star is to our vision lost. And straightway as the handmaid of the sun Puts forth her radiant brow, all, light by light, Fade, and the spangled firmament shuts in, E'en to the loveliest of the glittering throng. Thus vanish'd gradually from my sight The triumph, which plays ever round the point, That overcame me, seeming (for it did) Engirt by that it girdeth. Wherefore love, With loss of other object, forc'd me bend Mine eyes on Beatrice once again."
The Devil's Dictionary,Ambrose Bierce,"APOLOGIZE, v.i. To lay the foundation for a future offence. APOSTATE, n. A leech who, having penetrated the shell of a turtle only to find that the creature has long been dead, deems it expedient to form a new attachment to a fresh turtle. APOTHECARY, n. The physician's accomplice, undertaker's benefactor and grave worm's provider. G.J. APPEAL, v.t. In law, to put the dice into the box for another throw. APPETITE, n. An instinct thoughtfully implanted by Providence as a solution to the labor question. APPLAUSE, n. The echo of a platitude. APRIL FOOL, n. The March fool with another month added to his folly."
Oliver Twist,Charles Dickens,"â€œPlease, sir, I want some more.â€ The master was a fat, healthy man; but he turned very pale. He gazed in stupefied astonishment on the small rebel for some seconds, and then clung for support to the copper. The assistants were paralysed with wonder; the boys with fear. â€œWhat!â€ said the master at length, in a faint voice. â€œPlease, sir,â€ replied Oliver, â€œI want some more.â€ The master aimed a blow at Oliverâ€™s head with the ladle; pinioned him in his arm; and shrieked aloud for the beadle. The board were sitting in solemn conclave, when Mr. Bumble rushed into the room in great excitement, and addressing the gentleman in the high chair, said,"
The Problems of Philosophy,Bertrand Russell,"We shall say that we have acquaintance with anything of which we are directly aware, without the intermediary of any process of inference or any knowledge of truths. Thus in the presence of my table I am acquainted with the sense-data that make up the appearance of my tableâ€”its colour, shape, hardness, smoothness, etc.; all these are things of which I am immediately conscious when I am seeing and touching my table. The particular shade of colour that I am seeing may have many things said about itâ€”I may say that it is brown, that it is rather dark, and so on."
The Confessions of St. Augustine,Bishop of Hippo Saint Augustine,"Therefore I fell among men proudly doting, exceeding carnal and prating, in whose mouths were the snares of the Devil, limed with the mixture of the syllables of Thy name, and of our Lord Jesus Christ, and of the Holy Ghost, the Paraclete, our Comforter. These names departed not out of their mouth, but so far forth as the sound only and the noise of the tongue, for the heart was void of truth. Yet they cried out ""Truth, Truth,"" and spake much thereof to me, yet it was not in them: but they spake falsehood, not of Thee only (who truly art Truth), but even of those elements of this world, Thy creatures."
Notes from the Underground,Fyodor Dostoyevsky,"""Why must you invariably be the first to move aside?"" I kept asking myself in hysterical rage, waking up sometimes at three o'clock in the morning. ""Why is it you and not he? There's no regulation about it; there's no written law. Let the making way be equal as it usually is when refined people meet; he moves half-way and you move half-way; you pass with mutual respect."" But that never happened, and I always moved aside, while he did not even notice my making way for him. And lo and behold a bright idea dawned upon me! ""What,"" I thought, ""if I meet him and don't move on one side? What if I don't move aside on purpose, even if I knock up against him? How would that be?"" This audacious idea took such a hold on me that it gave me no peace."
Complete Original Short Stories of Guy De Maupassant,Guy de Maupassant,"A STUDY BY POL. NEVEUX He undertook to write the article for the Gaulois and, in cooperation with his friends, he worded it in the terms with which we are familiar, amplifying and embellishing it, yielding to an inborn taste for mystification which his youth rendered excusable. The essential point, he said, is to â€œunmoorâ€ criticism. It was unmoored. The following day Wolff wrote a polemical dissertation in the Figaro and carried away his colleagues. The volume was a brilliant success, thanks to Boule de Suif. Despite the novelty, the honesty of effort, on the part of all, no mention was made of the other stories."
Ethan Frome,Edith Wharton,"â€œCome in,â€ he said; and as he spoke the droning voice grew still... It was that night that I found the clue to Ethan Frome, and began to put together this vision of his story. The village lay under two feet of snow, with drifts at the windy corners. In a sky of iron the points of the Dipper hung like icicles and Orion flashed his cold fires. The moon had set, but the night was so transparent that the white house-fronts between the elms looked gray against the snow, clumps of bushes made black stains on it, and the basement windows of the church sent shafts of yellow light far across the endless undulations."
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Rowlandson,"A comfortable remove it was to me, because of my hopes. They gave me a pack, and along we went cheerfully; but quickly my will proved more than my strength; having little or no refreshing, my strength failed me, and my spirits were almost quite gone. Now may I say with David ""I am poor and needy, and my heart is wounded within me. I am gone like the shadow when it declineth: I am tossed up and down like the locust; my knees are weak through fasting, and my flesh faileth of fatness"" (Psalm 119.22-24). At night we came to an Indian town, and the Indians sat down by a wigwam discoursing, but I was almost spent, and could scarce speak."
The Elements of Style,William Strunk,"It is nearly half past five. We cannot reach town before dark. If a conjunction is inserted the proper mark is a comma (Rule 4). Stevenson's romances are entertaining, for they are full of exciting adventures. It is nearly half past five, and we cannot reach town before dark. A comparison of the three forms given above will show clearly the advantage of the first. It is, at least in the examples given, better than the second form, because it suggests the close relationship between the two statements in a way that the second does not attempt, and better than the third, because briefer and therefore more forcible."
"Songs of Innocence, and Songs of Experience",William Blake,"58 The Human Abstract 59 Infant Sorrow 61 A Poison Tree 62 A Little Boy Lost 63 A Little Girl Lost 65 A Divine Image 67 A Cradle Song 68 The Schoolboy 69 To Tirzah 71 The Voice of the Ancient Bard 72 Piping down the valleys wild, Piping songs of pleasant glee, On a cloud I saw a child, And he laughing said to me: â€˜Pipe a song about a Lamb!â€™ So I piped with merry cheer. â€˜Piper, pipe that song again.â€™ So I piped: he wept to hear. â€˜Drop thy pipe, thy happy pipe; Sing thy songs of happy cheer!â€™ So I sung the same again, While he wept with joy to hear."
Pygmalion,Bernard Shaw,"Titterings. Popular interest in the note takerâ€™s performance increases. THE FLOWER GIRL. Let him say what he likes. I donâ€™t want to have no truck with him. THE BYSTANDER. You take us for dirt under your feet, donâ€™t you? Catch you taking liberties with a gentleman! THE SARCASTIC BYSTANDER. Yes: tell HIM where he come from if you want to go fortune-telling. THE NOTE TAKER. Cheltenham, Harrow, Cambridge, and India. THE NOTE TAKER. Iâ€™ve thought of that. Perhaps I shall some day. The rain has stopped; and the persons on the outside of the crowd begin to drop off. THE NOTE TAKER. Did I say that out loud? I didnâ€™t mean to."
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The",,"On the 21st of April we renewed our efforts to land the men, while all the men of war were stationed along the shore to cover it, and fired at the French batteries and breastworks from early in the morning till about four o'clock in the evening, when our soldiers effected a safe landing. They immediately attacked the French; and, after a sharp encounter, forced them from the batteries. Before the enemy retreated they blew up several of them, lest they should fall into our hands. Our men now proceeded to besiege the citadel, and my master was ordered on shore to superintend the landing of all the materials necessary for carrying on the siege; in which service I mostly attended him."
Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,"Three weeks afterwards, I met him in the coffee-room of a Bath hotel, talking about his voyages, and explaining, with enthusiasm, how he loved the sea. â€œGood sailor!â€ he replied in answer to a mild young manâ€™s envious query; â€œwell, I did feel a little queer once, I confess. It was off Cape Horn. The vessel was wrecked the next morning.â€ I said: â€œWerenâ€™t you a little shaky by Southend Pier one day, and wanted to be thrown overboard?â€ â€œSouthend Pier!â€ he replied, with a puzzled expression. â€œYes; going down to Yarmouth, last Friday three weeks.â€ â€œOh, ahâ€”yes,â€ he answered, brightening up; â€œI remember now."
The Life and Adventures of Robinson Crusoe,Daniel Defoe,"This was game indeed to us, but this was no food; and I was very sorry to lose three charges of powder and shot upon a creature that was good for nothing to us. However, Xury said he would have some of him; so he comes on board, and asked me to give him the hatchet. â€œFor what, Xury?â€ said I. â€œMe cut off his head,â€ said he. However, Xury could not cut off his head, but he cut off a foot, and brought it with him, and it was a monstrous great one. I bethought myself, however, that, perhaps the skin of him might, one way or other, be of some value to us; and I resolved to take off his skin if I could."
